,job_type
0,[]
1,[]
2,[]
3,"['Functional Design Engineer', 'Student Assistant']"
4,['Data Analyst']
5,"[""Yash hasn't posted lately""]"
6,[]
7,"['Associate Consultant', 'Project Intern', 'Project Intern', 'Business Owner']"
8,"['Temporary Worker via Manpower', 'Temp-Worker', 'FOREST WORKER', 'Construction Worker']"
9,"['Mathematics Teacher', 'University Teacher', 'Member Board Of Directors (Financial Holdings)', 'Senior IFRS specialist', 'Member of the Supervisory Board']"
10,[]
11,[]
12,"['Professor of Science Communication', 'Quarter Master of Dutch National Centre for Science Communication', 'Science writer', 'National PR assistant Mathematics']"
13,"['Data Analyst Intern', 'Cashier & Salesperson', 'Student Assistant', 'Cashier & Assistant', 'Teacher Assistant']"
14,"['-', '-']"
15,"['SAP Trainee', 'Member of DGDarc', 'Medicine delivery person']"
16,"['ASML Technology Scholarship Student 2022-2024', 'Member Project team Employability', 'Career & Skills Team Member']"
17,['Research Intern']
18,"['Software Engineer', 'Lead Algorithm Engineer', 'Data Scientist', 'Postdoctoral Researcher', 'Research Assistant']"
19,"['IB Examiner', 'World sailing voyage', 'Teaching Assistant']"
20,[]
21,"['Intern', 'Sales Staff']"
22,[]
23,"['Mathware Engineer', 'Associate Scientist', 'Internship']"
24,"['Sustainable Finance Consultant', 'Number Cruncher', 'Graduate Research Assistant', 'Teaching Assistant']"
25,"['Faculty Manager VU Business Administration', 'SAM Mentor First-year Students', 'Waitress', 'Waitress']"
26,"['Recruiter', 'Consultant/Researcher FSA Research Project 2021: Taiwan', 'Tutor', 'Operations Intern', 'Hostess']"
27,"['Honours Student', 'Member of Partnerships Committee', 'Chairman & Co- Founder of Ponx Investments', 'Sales Promoter']"
28,"['Junior ingenieur', 'Employee', 'Process Engineer at AquasuiteÂ®', 'Tutor']"
29,"['Translator', 'Mathematics Teacher', 'Mathematics Teacher', 'Mathematics Tutor, Tutor Supervisor', 'Lecturer, Department of Mathematics']"
30,['Bachelor Student']
31,"['Teaching assistant', 'Intern Natural and Stochastic Computing', 'Consultant Technology', 'Software Engineer', 'Intern NVH Research']"
32,"['Co-Founder & Vice-President', 'Research Assistant', 'Science and Mathematics Teacher', 'Science Academic counselor']"
33,[]
34,"['Mathematics Teacher', 'Geography & Mathematics Teacher', 'Intern Ethologist', 'Intern Biodiversity Researcher']"
35,"['PHD Candidate', 'Acquisition', 'Student Intern']"
36,[]
37,"['Academic Tutor', 'PhD Candidate', 'Graduate Student Assistant', 'Tutor', 'Teacher Assistant']"
38,"['Thesis Working Student', 'Thesis Analyst Intern', 'Teacher Author', 'Teaching Assistent']"
39,"['Service Desk Employee', 'Mechanical Engineer']"
40,['Student assistant']
41,[]
42,"['Gaze Secretary & Event Organizer', 'Research Intern - Olfactory History of Oosterdok, Hortus Dijkspark', 'Tutor', '""Flipping the Classroom"" Producer', 'Co-Founder']"
43,[]
44,['Software Developer']
45,"['Data Engineer', 'Student Assistant', 'Mathematics Educator', 'Research Scholar']"
46,"['Financieel controller', 'Mathematics, statistics, finance and accounting tutor', 'ASML', 'Audit Trainee', 'Werver']"
47,"['Leadership Development Program', 'Inventory Logistics Specialist', 'Demand Planning Manager', 'Consultant-Assistant in Business Applications Department']"
48,"['Partner Solution Engineer', 'BI', 'Business Analyst', 'Data Analyst', 'Trainee Consulting Analyst']"
49,"['Data Scientist Freelancer (Remote)', 'Machine Learning Engineer', 'Backend Developer', 'AI & Machine Learning Engineer']"
